930068	850897
931588	854557
933137	858221
934713	861887
936324	865568
937969	869262
939647	872968
941360	876686
943112	880424
944903	884182
946733	887959
948607	891761
950522	895587
952479	899432
954480	903302
956524	907194
958609	911103
960733	915025
962897	918959
965098	922901
967333	926845
969598	930784
971891	934716
974208	938633
976542	942526
978890	946389
981244	950211
983597	953983
985944	957696
988277	961343
990589	964915
992874	968404
995118	971791
997312	975068
999457	978238
1001546	981294
1003572	984231
1006164	987638
1008846	991165
1011533	994836
1014112	998451
1016691	1002210
1019140	1005926
1021607	1009771
1023945	1013568
1026297	1017493
1028545	1021407
1030837	1025513
1033047	1029620
1035151	1033739
1037188	1037850
1039158	1041952
1041123	1046244
1042978	1050504
1044738	1054685
1046381	1058797
1048016	1063039
1049535	1067209
1051042	1071507
1052435	1075730
1053812	1080082
1055078	1084355
1056296	1088764
1057406	1093090
1058464	1097550
1059415	1101921
1060308	1106423
1061125	1110829
1061881	1115366
1062544	1119853
1063180	1124344
1063816	1128833
1064451	1133320
1065086	1137802
1065720	1142278
1066353	1146746
1066984	1151205
1067613	1155649
1068240	1160075
1068864	1164481
1069485	1168864
1070101	1173215
1070712	1177529
1071317	1181803
1071916	1186032
1072508	1190213
1073091	1194331
1073664	1198380
1074227	1202354
1074778	1206249
1075359	1210359
1075979	1214933
1076528	1219658
1077075	1224363
1077614	1229007
1078151	1233627
1078682	1238189
1079208	1242713
1079756	1247422
1080299	1252088
1080865	1256707
1081426	1261284
1081982	1265818
1082560	1270534
1083134	1275207
1083702	1279836
1084264	1284421
1084821	1288961
1085372	1293457
1085945	1297904
1086516	1302330
1087083	1306734
1087633	1311018
1088148	1315100
1088656	1319104
1089200	1323241
1089768	1327385
1090313	1331567
1090844	1335723
1091338	1339901
1091679	1344081
1091887	1348259
1091968	1352427
1091913	1356594
1091723	1360753
1091378	1364897
1090878	1369019
1090251	1373119
1089497	1377190
1088594	1381231
1087561	1385244
1086392	1389226
1085086	1393172
1083654	1397077
1082088	1400944
1080383	1404769
1078540	1408545
1076562	1412268
1074456	1415932
1072218	1419539
1069849	1423085
1067346	1426560
1064713	1429961
1061951	1433281
1059058	1436518
1056039	1439666
1052896	1442719
1049655	1445693
1046298	1448563
1042832	1451325
1039273	1453989
1035632	1456557
1031912	1459018
1028121	1461370
1024266	1463608
1020358	1465729
1016408	1467729
1012438	1469631
1008448	1471408
1004466	1473083
1000484	1474632
996533	1476079
992624	1477425
988778	1478670
985012	1479808
981339	1480842
977756	1481783
974273	1482636
970919	1483395
967604	1484141
963595	1485653
959680	1487531
955851	1489336
952112	1491101
948470	1492818
944912	1494496
941442	1496132
938037	1497739
934694	1499317
931433	1500854
928251	1502353
925130	1503825
922084	1505313
919152	1506882
916346	1508473
913641	1510058
910333	1509991
907245	1509947
904044	1509920
900713	1509886
897267	1509847
893707	1509802
890033	1509777
886258	1509748
882394	1509715
878422	1509678
874334	1509640
870130	1509599
866019	1510001
861798	1510427
857718	1510866
853433	1511346
849277	1511869
844974	1512450
840671	1513031
836358	1513614
832035	1514198
827702	1514783
823350	1515371
818988	1515960
814608	1516552
810210	1517146
805787	1517744
801340	1518345
796870	1518949
792379	1519556
787863	1520166
783324	1520780
778765	1521396
774189	1522015
769595	1522636
764987	1523259
760370	1523883
755748	1524508
751126	1525133
746511	1525757
741908	1526379
737328	1526998
732779	1527613
728269	1528223
723807	1528826
719409	1529420
715076	1530005
710827	1530579
706673	1531140
702623	1531687
698687	1532219
694875	1532734
691196	1533232
687620	1533717
683579	1534179
679888	1534478
676181	1534689
672556	1534839
668944	1534949
665321	1535063
661791	1535175
