1673170	29809	500291	10	-5	0
1673022	29716	502660	10	-5	0
1672873	29604	505036	10	-6	0
1672723	29665	507432	10	-4	0
1672579	29586	509821	10	-4	0
1672443	29489	512217	9	-4	0
1672308	29495	514621	9	-9	0
1672172	29386	517029	9	-6	0
1672036	29344	519446	9	-3	0
1671899	29352	521869	9	0	0
1671763	29352	524301	9	0	0
1671627	29352	526740	9	0	0
1671497	29352	529185	8	0	0
1671389	29352	531637	7	0	0
1671304	29352	534096	5	0	0
1671249	29352	536562	3	0	0
1671231	29352	539036	1	0	0
1671252	29352	541516	1022	0	0
1671303	29352	543999	1020	0	0
1671385	29352	546485	1018	0	0
1671497	29352	548973	1016	0	0
1671640	29352	551463	1014	0	0
1671822	29352	553957	1011	0	0
1672042	29352	556454	1009	0	0
1672272	29352	558957	1009	0	0
1672502	29352	561466	1009	0	0
1672733	29352	563981	1009	0	0
1672964	29352	566502	1009	0	0
1673196	29352	569029	1009	0	0
1673428	29352	571562	1009	0	0
1673661	29352	574101	1009	0	0
1673895	29352	576646	1009	0	0
1674129	29352	579197	1009	0	0
1674364	29352	581753	1009	0	0
1674599	29352	584315	1009	0	0
1674842	29352	586882	1008	0	0
1674792	29830	589455	9	39	-49
1674579	30577	591990	1023	28	-73
1674613	30996	594522	1021	28	-73
1674670	31392	597046	1020	27	-73
1674742	31753	599564	1019	26	-73
1674823	32077	602085	1018	25	-73
1674913	32364	604609	1018	23	-73
1675004	32602	607137	1018	21	-73
1675095	32791	609670	1018	18	-73
1675186	32915	612208	1018	15	-73
1675277	32975	614751	1018	12	-73
1675368	32970	617298	1018	9	-73
1675459	32900	619848	1018	6	-73
1675556	32768	622399	1018	3	-73
1675664	32576	625207	1018	0	-73
1675772	32315	628019	1018	-4	-73
1675848	32127	630884	1018	0	-96
1675935	32023	633702	1019	2	-111
1676011	32008	636521	1016	6	-113
1676160	32095	639338	1015	7	-113
1676321	32220	642155	1013	6	-118
1676487	32332	644971	1015	9	-129
1676637	32464	647790	1015	10	-135
1676789	32603	650609	1015	11	-142
1676902	32791	653430	1017	14	-148
1677004	33000	656256	1018	16	-151
1677100	33222	659083	1018	16	-154
1677158	33453	661912	1017	15	-152
1677260	33665	664748	1018	13	-152
1677345	33824	667591	1019	11	-152
1677412	33930	670441	1020	8	-152
1677462	33966	673298	1021	5	-152
1677495	33932	676162	1022	2	-152
1677528	33827	679027	1022	0	-152
1677561	33669	681892	1022	-4	-152
1677594	33422	684756	1022	-8	-152
1677627	33087	687618	1022	-12	-152
1677660	32664	690476	1022	-16	-152
1677693	32152	693327	1022	-20	-152
1677725	31552	696171	1022	-25	-152
1677757	30847	699003	1022	-30	-152
1677746	30220	701878	1	-20	-129
1677699	29916	705057	0	-15	-72
1677656	29728	708231	1	-8	-25
1677640	29622	711415	1023	-8	-25
