1592192	512	358144	768	0	0	0	1
1592212	512	358144	768	0	0	223	1
1592252	512	358144	768	0	0	446	1
1592313	512	358144	768	0	0	669	1
1592394	512	358144	768	0	0	892	1
1592496	512	358144	768	0	0	1115	1
1592618	512	358144	768	0	0	1338	1
1592761	512	358144	768	0	0	1561	1
1592924	512	358144	768	0	0	1784	1
1593107	512	358144	768	0	0	2007	1
1593311	512	358144	768	0	0	2230	1
1593535	512	358144	768	0	0	2453	1
1593780	512	358144	768	0	0	2676	1
1594045	512	358144	768	0	0	2899	1
1594331	512	358144	768	0	0	3122	1
1594637	512	358144	768	0	0	3345	1
1594964	512	358144	768	0	0	3568	1
1595311	512	358144	768	0	0	3791	1
1595678	512	358144	768	0	0	4014	1
1596066	512	358144	768	0	0	4237	1
1596474	512	358144	768	0	0	4459	1
1596903	512	358144	768	0	0	4681	1
1597352	512	358144	768	0	0	4903	1
1597821	512	358144	768	0	0	5125	1
1598311	512	358144	768	0	0	5347	1
1598821	512	358144	768	0	0	5569	1
1599351	512	358144	768	0	0	5791	1
1599892	512	358144	768	0	0	5908	1
1600444	512	358144	768	0	0	6025	1
1601007	512	358144	768	0	0	6145	1
1601581	512	358144	768	0	0	6264	1
1602166	512	358144	768	0	0	6383	1
1602762	512	358144	768	0	0	6502	1
1603368	512	358144	768	0	0	6621	1
1603985	512	358144	768	0	0	6740	1
1604613	512	358144	768	0	0	6859	1
1605252	512	358144	768	0	0	6981	1
1605903	512	358144	768	0	0	7103	1
1606565	512	358144	768	0	0	7225	1
1607238	512	358144	768	0	0	7347	1
1607922	512	358144	768	0	0	7469	1
1608618	512	358144	768	0	0	7593	1
1609325	512	358144	768	0	0	7717	1
1610044	512	358144	768	0	0	7844	1
1610773	512	358148	769	0	0	7971	1
1611513	512	358161	770	0	0	8100	1
1612264	512	358180	771	0	0	8229	1
1613027	512	358209	772	0	0	8358	1
1613802	512	358246	774	0	0	8489	1
1614589	512	358286	775	0	0	8620	1
1615388	512	358323	776	0	0	8759	1
1616201	512	358361	776	0	0	8898	1
1617025	512	358405	776	0	0	9042	1
1617863	512	358452	777	0	0	9186	1
1618713	512	358511	778	0	0	9333	1
